Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
[34]     0.7    0.09    0.00                 std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > >::_M_insert_aux(__gnu_cxx::__normal_iterator<std::vector<unsigned char, std::allocator<unsigned char> >*, std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > > >, std::vector<unsigned char, std::allocator<unsigned char> > const&) [34]
-----------------------------------------------
                                                 <spontaneous>
[35]     0.6    0.08    0.00                 Range::Range(Position const&, Position const&) [35]
-----------------------------------------------
                                                 <spontaneous>
[36]     0.6    0.08    0.00                 IOMapOTBM::loadMap(Map*, std::string) [36]
-----------------------------------------------
                                                 <spontaneous>
[37]     0.6    0.08    0.00                 bool __gnu_cxx::operator!=<std::string const*, std::vector<std::string, std::allocator<std::string> > >(__gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > > const&, __gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > > const&) [37]
-----------------------------------------------
                                                 <spontaneous>
[38]     0.5    0.07    0.00                 FileLoader::openFile(char const*, bool, bool) [38]
-----------------------------------------------
                                                 <spontaneous>
[39]     0.5    0.07    0.00                 FileLoader::setProps(void*, unsigned short) [39]
-----------------------------------------------
                                                 <spontaneous>
[40]     0.5    0.07    0.00                 ItemType::~ItemType() [40]
-----------------------------------------------
                                                 <spontaneous>
[41]     0.5    0.07    0.00                 __cxxabiv1::__vmi_class_type_info::__do_upcast(__cxxabiv1::__class_type_info const*, void const*, __cxxabiv1::__class_type_info::__upcast_result&) const [41]
-----------------------------------------------
                                                 <spontaneous>
[42]     0.5    0.07    0.00                 std::string::find_first_of(std::string const&, unsigned int) const [42]
-----------------------------------------------
                                                 <spontaneous>
[43]     0.5    0.07    0.00                 __w32_sharedptr_initialize [43]
-----------------------------------------------
                                                 <spontaneous>
[44]     0.5    0.07    0.00                 fc_key_init_once [44]
-----------------------------------------------
                                                 <spontaneous>
[45]     0.5    0.06    0.00                 __gnu_cxx::_Hashtable_iterator<std::pair<unsigned short const, ItemType*>, unsigned short, __gnu_cxx::hash<unsigned short>, std::_Select1st<std::pair<unsigned short const, ItemType*> >, std::equal_to<unsigned short>, std::allocator<ItemType*> >::operator++(int) [45]
-----------------------------------------------
                                                 <spontaneous>
[46]     0.5    0.06    0.00                 __gnu_cxx::hashtable<std::pair<unsigned short const, ItemType*>, unsigned short, __gnu_cxx::hash<unsigned short>, std::_Select1st<std::pair<unsigned short const, ItemType*> >, std::equal_to<unsigned short>, std::allocator<ItemType*> >::~hashtable() [46]
-----------------------------------------------
                                                 <spontaneous>
[47]     0.5    0.06    0.00                 std::vector<std::pair<unsigned long, unsigned long>, std::allocator<std::pair<unsigned long, unsigned long> > >::begin() const [47]
-----------------------------------------------
                                                 <spontaneous>
[48]     0.5    0.06    0.00                 std::__timepunct_cache<char>::__timepunct_cache(unsigned int) [48]
-----------------------------------------------
                                                 <spontaneous>
[49]     0.4    0.05    0.00                 Tile::getMoveableBlockingItem() [49]
-----------------------------------------------
                                                 <spontaneous>
[50]     0.4    0.05    0.00                 __cxxabiv1::__vmi_class_type_info::__do_find_public_src(int, void const*, __cxxabiv1::__class_type_info const*, void const*) const [50]
-----------------------------------------------
                                                 <spontaneous>
[51]     0.4    0.05    0.00                 __gnu_cxx::__normal_iterator<std::pair<unsigned char, Container*>*, std::vector<std::pair<unsigned char, Container*>, std::allocator<std::pair<unsigned char, Container*> > > >::base() const [51]
-----------------------------------------------
                                                 <spontaneous>
[52]     0.4    0.05    0.00                 std::__timepunct_cache<char>::__timepunct_cache(unsigned int) [52]
-----------------------------------------------
                                                 <spontaneous>
[53]     0.3    0.04    0.00                 FileLoader::getProps(unsigned long, unsigned long&) [53]
-----------------------------------------------
                                                 <spontaneous>
[54]     0.3    0.04    0.00                 Map::placeCreature(Position&, Creature*) [54]
-----------------------------------------------
                                                 <spontaneous>
[55]     0.3    0.04    0.00                 std::vector<std::pair<unsigned long, unsigned long>, std::allocator<std::pair<unsigned long, unsigned long> > >::size() const [55]
-----------------------------------------------
                                                 <spontaneous>
[56]     0.3    0.04    0.00                 std::_Rb_tree<unsigned long, std::pair<unsigned long const, Tile*>, std::_Select1st<std::pair<unsigned long const, Tile*> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, Tile*> > >::_M_create_node(std::pair<unsigned long const, Tile*> const&) [56]
-----------------------------------------------
                                                 <spontaneous>
[57]     0.2    0.03    0.00                 global constructors keyed to _ZN7Summons7summonsE [57]
-----------------------------------------------
                                                 <spontaneous>
[58]     0.2    0.03    0.00                 __gxx_exception_cleanup(_Unwind_Reason_Code, _Unwind_Exception*) [58]
-----------------------------------------------
                                                 <spontaneous>
[59]     0.2    0.03    0.00                 FileLoader::getNextNode(unsigned long, unsigned long&) [59]
-----------------------------------------------
                                                 <spontaneous>
[60]     0.2    0.03    0.00                 __cxxabiv1::__class_type_info::~__class_type_info() [60]
-----------------------------------------------
                                                 <spontaneous>
[61]     0.2    0.03    0.00                 CreatureState::~CreatureState() [61]
-----------------------------------------------
                                                 <spontaneous>
[62]     0.2    0.03    0.00                 Map::setTile(unsigned short, unsigned short, unsigned char) [62]
-----------------------------------------------
                                                 <spontaneous>
[63]     0.2    0.03    0.00                 __gnu_cxx::__normal_iterator<std::pair<unsigned char, Container*>*, std::vector<std::pair<unsigned char, Container*>, std::allocator<std::pair<unsigned char, Container*> > > >::operator*() const [63]
-----------------------------------------------
                                                 <spontaneous>
[64]     0.2    0.03    0.00                 std::allocator<std::_List_node<Direction> >::~allocator() [64]
-----------------------------------------------
                                                 <spontaneous>
[65]     0.2    0.02    0.00                 PropStream::GET_USHORT(unsigned short&) [65]
-----------------------------------------------
                                                 <spontaneous>
[66]     0.2    0.02    0.00                 PropStream::init(char*, unsigned long) [66]
-----------------------------------------------
                                                 <spontaneous>
[67]     0.2    0.02    0.00                 PropStream::GET_ULONG(unsigned long&) [67]
-----------------------------------------------
                                                 <spontaneous>
[68]     0.2    0.02    0.00                 CreatureState::operator=(CreatureState const&) [68]
-----------------------------------------------
                                                 <spontaneous>
[69]     0.2    0.02    0.00                 Item::serialize() [69]
-----------------------------------------------
                                                 <spontaneous>
[70]     0.2    0.02    0.00                 Item::Item(unsigned short, unsigned short) [70]
-----------------------------------------------
                                                 <spontaneous>
[71]     0.2    0.02    0.00                 LootBlock::LootBlock(LootBlock const&) [71]
-----------------------------------------------
                                                 <spontaneous>
[72]     0.2    0.02    0.00                 __gnu_cxx::__mt_alloc<char>::deallocate(char*, unsigned int) [72]
-----------------------------------------------
                                                 <spontaneous>
[73]     0.2    0.02    0.00                 __gnu_cxx::new_allocator<std::_List_node<Container const*> >::allocate(unsigned int, void const*) [73]
-----------------------------------------------
                                                 <spontaneous>
[74]     0.2    0.02    0.00                 std::moneypunct<char, true>::negative_sign() const [74]
-----------------------------------------------
                                                 <spontaneous>
[75]     0.2    0.02    0.00                 std::allocator<std::_List_node<Direction> >::~allocator() [75]
-----------------------------------------------
                                                 <spontaneous>
[76]     0.2    0.02    0.00                 std::allocator<std::_List_node<Creature*> >::~allocator() [76]
-----------------------------------------------
                                                 <spontaneous>
[77]     0.2    0.02    0.00                 std::_Vector_base<__gnu_cxx::_Hashtable_node<std::pair<unsigned long const, unsigned long> >*, std::allocator<__gnu_cxx::_Hashtable_node<std::pair<unsigned long const, unsigned long> >*> >::~_Vector_base() [77]
-----------------------------------------------
                                                 <spontaneous>
[78]     0.2    0.02    0.00                 std::map<unsigned long, Creature*, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, Creature*> > >::map() [78]
-----------------------------------------------
                                                 <spontaneous>
[79]     0.2    0.02    0.00                 std::vector<House*, std::allocator<House*> >::_M_insert_aux(__gnu_cxx::__normal_iterator<House**, std::vector<House*, std::allocator<House*> > >, House* const&) [79]
-----------------------------------------------
                                                 <spontaneous>
[80]     0.2    0.02    0.00                 std::vector<Thing*, std::allocator<Thing*> >::_M_insert_aux(__gnu_cxx::__normal_iterator<Thing**, std::vector<Thing*, std::allocator<Thing*> > >, Thing* const&) [80]
-----------------------------------------------
                                                 <spontaneous>
[81]     0.2    0.02    0.00                 std::_Rb_tree<unsigned long, std::pair<unsigned long const, Tile*>, std::_Select1st<std::pair<unsigned long const, Tile*> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, Tile*> > >::~_Rb_tree() [81]
-----------------------------------------------
                                                 <spontaneous>
[82]     0.2    0.02    0.00                 std::_Rb_tree<unsigned long, std::pair<unsigned long const, Player*>, std::_Select1st<std::pair<unsigned long const, Player*> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, Player*> > >::equal_range(unsigned long const&) [82]
-----------------------------------------------
                                                 <spontaneous>
[83]     0.2    0.02    0.00                 std::_Rb_tree<unsigned long, std::pair<unsigned long const, Player*>, std::_Select1st<std::pair<unsigned long const, Player*> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, Player*> > >::upper_bound(unsigned long const&) [83]
-----------------------------------------------
                                                 <spontaneous>
[84]     0.2    0.02    0.00                 std::_Rb_tree<unsigned long, std::pair<unsigned long const, Player*>, std::_Select1st<std::pair<unsigned long const, Player*> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, Player*> > >::insert_unique(std::_Rb_tree_iterator<std::pair<unsigned long const, Player*> >, std::pair<unsigned long const, Player*> const&) [84]
-----------------------------------------------
                                                 <spontaneous>
[85]     0.2    0.02    0.00                 std::type_info::~type_info() [85]
-----------------------------------------------
                                                 <spontaneous>
[86]     0.2    0.02    0.00                 std::_Rb_tree_decrement(std::_Rb_tree_node_base const*) [86]
-----------------------------------------------
                                                 <spontaneous>
[87]     0.2    0.02    0.00                 std::_Rb_tree_increment(std::_Rb_tree_node_base*) [87]
-----------------------------------------------
                                                 <spontaneous>
[88]     0.2    0.02    0.00                 std::_Rb_tree_black_count(std::_Rb_tree_node_base const*, std::_Rb_tree_node_base const*) [88]
-----------------------------------------------
                                                 <spontaneous>
[89]     0.1    0.01    0.00                 _DTOR_LIST__ [89]
-----------------------------------------------
                                                 <spontaneous>
[90]     0.1    0.01    0.00                 global destructors keyed to _ZN7Summons7summonsE [90]
-----------------------------------------------
                                                 <spontaneous>
[91]     0.1    0.01    0.00                 __static_initialization_and_destruction_0(int, int) [91]
-----------------------------------------------
                                                 <spontaneous>
[92]     0.1    0.01    0.00                 FileLoader::endNode() [92]
-----------------------------------------------
                                                 <spontaneous>
[93]     0.1    0.01    0.00                 FileLoader::getProps(unsigned long, PropStream&) [93]
-----------------------------------------------
                                                 <spontaneous>
[94]     0.1    0.01    0.00                 ActionScript::registerFunctions() [94]
-----------------------------------------------
                                                 <spontaneous>
[95]     0.1    0.01    0.00                 InstantSpell::~InstantSpell() [95]
-----------------------------------------------
                                                 <spontaneous>
[96]     0.1    0.01    0.00                 SchedulerTask::~SchedulerTask() [96]
-----------------------------------------------
                                                 <spontaneous>
[97]     0.1    0.01    0.00                 Map::canThrowObjectTo(Position, Position, int) [97]
-----------------------------------------------
                                                 <spontaneous>
[98]     0.1    0.01    0.00                 Map::getTile(unsigned short, unsigned short, unsigned char) [98]
-----------------------------------------------
                                                 <spontaneous>
[99]     0.1    0.01    0.00                 Map::setTile(unsigned short, unsigned short, unsigned char, unsigned short) [99]
-----------------------------------------------
                                                 <spontaneous>
[100]    0.1    0.01    0.00                 Game::placeCreature(Position&, Creature*, int*) [100]
-----------------------------------------------
                                                 <spontaneous>
[101]    0.1    0.01    0.00                 Game::getPlayerByName(std::string const&) [101]
-----------------------------------------------
                                                 <spontaneous>
[102]    0.1    0.01    0.00                 Item::setUniqueId(unsigned short) [102]
-----------------------------------------------
                                                 <spontaneous>
[103]    0.1    0.01    0.00                 Tile::getTopThing() [103]
-----------------------------------------------
                                                 <spontaneous>
[104]    0.1    0.01    0.00                 Tile::addThing(Thing*) [104]
-----------------------------------------------
                                                 <spontaneous>
[105]    0.1    0.01    0.00                 Range::Range(Position, int, int, int, int, bool) [105]
-----------------------------------------------
                                                 <spontaneous>
[106]    0.1    0.01    0.00                 void boost::function1<void, Game*, std::allocator<boost::function_base> >::assign_to<boost::_bi::bind_t<void, boost::_mfi::mf2<void, Game, unsigned long, int>, boost::_bi::list3<boost::_bi::value<Game*>, boost::_bi::value<unsigned long>, boost::_bi::value<int> > > >(boost::_bi::bind_t<void, boost::_mfi::mf2<void, Game, unsigned long, int>, boost::_bi::list3<boost::_bi::value<Game*>, boost::_bi::value<unsigned long>, boost::_bi::value<int> > >, boost::detail::function::function_obj_tag) [106]
-----------------------------------------------
                                                 <spontaneous>
[107]    0.1    0.01    0.00                 void boost::function1<void, Game*, std::allocator<boost::function_base> >::assign_to<boost::_bi::bind_t<void, boost::_mfi::mf2<void, Game, unsigned long, unsigned short>, boost::_bi::list3<boost::_bi::value<Game*>, boost::_bi::value<unsigned long>, boost::_bi::value<unsigned short> > > >(boost::_bi::bind_t<void, boost::_mfi::mf2<void, Game, unsigned long, unsigned short>, boost::_bi::list3<boost::_bi::value<Game*>, boost::_bi::value<unsigned long>, boost::_bi::value<unsigned short> > >, boost::detail::function::function_obj_tag) [107]
-----------------------------------------------
                                                 <spontaneous>
[108]    0.1    0.01    0.00                 Houses::LoadHouseItems(Game*) [108]
-----------------------------------------------
                                                 <spontaneous>
[109]    0.1    0.01    0.00                 Monster::isCreatureAttackable(Creature const*) [109]
-----------------------------------------------
                                                 <spontaneous>
[110]    0.1    0.01    0.00                 Monster::validateDistanceAttack(Position const&) [110]
-----------------------------------------------
                                                 <spontaneous>
[111]    0.1    0.01    0.00                 Monster::~Monster() [111]
-----------------------------------------------
                                                 <spontaneous>
[112]    0.1    0.01    0.00                 Monsters::loadMonster(std::string const&, std::string const&, bool) [112]
-----------------------------------------------
                                                 <spontaneous>
[113]    0.1    0.01    0.00                 Monsters::loadLootContainer(_xmlNode*, LootBlock&) [113]
-----------------------------------------------
                                                 <spontaneous>
[114]    0.1    0.01    0.00                 __gnu_cxx::new_allocator<std::pair<std::string, TimeProbabilityClass> >::deallocate(std::pair<std::string, TimeProbabilityClass>*, unsigned int) [114]
-----------------------------------------------
                                                 <spontaneous>
[115]    0.1    0.01    0.00                 __gnu_cxx::stdio_sync_filebuf<char, std::char_traits<char> >::xsputn(char const*, int) [115]
-----------------------------------------------
                                                 <spontaneous>
[116]    0.1    0.01    0.00                 bool __gnu_cxx::operator!=<std::pair<Creature*, CreatureState> const*, std::pair<Creature*, CreatureState>*, std::vector<std::pair<Creature*, CreatureState>, std::allocator<std::pair<Creature*, CreatureState> > > >(__gnu_cxx::__normal_iterator<std::pair<Creature*, CreatureState> const*, std::vector<std::pair<Creature*, CreatureState>, std::allocator<std::pair<Creature*, CreatureState> > > > const&, __gnu_cxx::__normal_iterator<std::pair<Creature*, CreatureState>*, std::vector<std::pair<Creature*, CreatureState>, std::allocator<std::pair<Creature*, CreatureState> > > > const&) [116]
-----------------------------------------------
                                                 <spontaneous>
[117]    0.1    0.01    0.00                 __cxxabiv1::__class_type_info::__do_dyncast(int, __cxxabiv1::__class_type_info::__sub_kind, __cxxabiv1::__class_type_info const*, void const*, __cxxabiv1::__class_type_info const*, void const*, __cxxabiv1::__class_type_info::__dyncast_result&) const [117]
-----------------------------------------------
                                                 <spontaneous>
[118]    0.1    0.01    0.00                 __gnu_cxx::__normal_iterator<std::vector<unsigned char, std::allocator<unsigned char> > const*, std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > > >::operator+(int const&) const [118]
-----------------------------------------------
                                                 <spontaneous>
[119]    0.1    0.01    0.00                 std::string::find_last_of(char const*, unsigned int, unsigned int) const [119]
-----------------------------------------------
                                                 <spontaneous>
[120]    0.1    0.01    0.00                 std::moneypunct<char, false>::do_grouping() const [120]
-----------------------------------------------
                                                 <spontaneous>
[121]    0.1    0.01    0.00                 std::basic_istringstream<char, std::char_traits<char>, std::allocator<char> >::str() const [121]
-----------------------------------------------
                                                 <spontaneous>
[122]    0.1    0.01    0.00                 std::basic_istringstream<char, std::char_traits<char>, std::allocator<char> >::rdbuf() const [122]
-----------------------------------------------
                                                 <spontaneous>
[123]    0.1    0.01    0.00                 std::list<ChatChannel*, std::allocator<ChatChannel*> >::begin() const [123]
-----------------------------------------------
                                                 <spontaneous>
[124]    0.1    0.01    0.00                 std::locale::operator==(std::locale const&) const [124]
-----------------------------------------------
                                                 <spontaneous>
[125]    0.1    0.01    0.00                 std::numpunct<char>::do_grouping() const [125]
-----------------------------------------------
                                                 <spontaneous>
[126]    0.1    0.01    0.00                 std::allocator<std::_List_node<LootBlock> >::allocator<LootBlock>(std::allocator<LootBlock> const&) [126]
-----------------------------------------------
                                                 <spontaneous>
[127]    0.1    0.01    0.00                 std::allocator<std::_List_node<Creature*> >::allocator(std::allocator<std::_List_node<Creature*> > const&) [127]
-----------------------------------------------
                                                 <spontaneous>
[128]    0.1    0.01    0.00                 std::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string(unsigned int, char, std::allocator<char> const&) [128]
-----------------------------------------------
                                                 <spontaneous>
[129]    0.1    0.01    0.00                 std::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<char const*>(char const*, char const*, std::allocator<char> const&) [129]
-----------------------------------------------
                                                 <spontaneous>
[130]    0.1    0.01    0.00                 std::_Vector_base<Item*, std::allocator<Item*> >::~_Vector_base() [130]
-----------------------------------------------
                                                 <spontaneous>
[131]    0.1    0.01    0.00                 std::_Vector_base<Creature*, std::allocator<Creature*> >::_M_deallocate(Creature**, unsigned int) [131]
-----------------------------------------------
                                                 <spontaneous>
[132]    0.1    0.01    0.00                 std::_Vector_base<Creature*, std::allocator<Creature*> >::_Vector_base(unsigned int, std::allocator<Creature*> const&) [132]
-----------------------------------------------
                                                 <spontaneous>
[133]    0.1    0.01    0.00                 std::_Vector_base<__gnu_cxx::_Hashtable_node<std::pair<unsigned long const, unsigned long> >*, std::allocator<__gnu_cxx::_Hashtable_node<std::pair<unsigned long const, unsigned long> >*> >::_Vector_base(unsigned int, std::allocator<__gnu_cxx::_Hashtable_node<std::pair<unsigned long const, unsigned long> >*> const&) [133]
-----------------------------------------------
                                                 <spontaneous>
[134]    0.1    0.01    0.00                 std::map<unsigned long, Player*, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, Player*> > >::map() [134]
-----------------------------------------------
                                                 <spontaneous>
[135]    0.1    0.01    0.00                 std::pair<std::_Rb_tree_iterator<std::pair<unsigned short const, ChatChannel*> >, bool>::pair(std::_Rb_tree_iterator<std::pair<unsigned short const, ChatChannel*> > const&, bool const&) [135]
-----------------------------------------------
                                                 <spontaneous>
[136]    0.1    0.01    0.00                 std::vector<Guilds::Guild::Member, std::allocator<Guilds::Guild::Member> >::operator[](unsigned int) [136]
-----------------------------------------------
                                                 <spontaneous>
[137]    0.1    0.01    0.00                 std::vector<House*, std::allocator<House*> >::operator[](unsigned int) [137]
-----------------------------------------------
                                                 <spontaneous>
[138]    0.1    0.01    0.00                 std::vector<Creature*, std::allocator<Creature*> >::operator[](unsigned int) [138]
-----------------------------------------------
                                                 <spontaneous>
[139]    0.1    0.01    0.00                 std::_Rb_tree<unsigned long, std::pair<unsigned long const, Tile*>, std::_Select1st<std::pair<unsigned long const, Tile*> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, Tile*> > >::find(unsigned long const&) [139]
-----------------------------------------------
                                                 <spontaneous>
[140]    0.1    0.01    0.00                 std::_Rb_tree<unsigned long, std::pair<unsigned long const, Player*>, std::_Select1st<std::pair<unsigned long const, Player*> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, Player*> > >::lower_bound(unsigned long const&) [140]
-----------------------------------------------
                                                 <spontaneous>
[141]    0.1    0.01    0.00                 std::_Rb_tree<unsigned long, std::pair<unsigned long const, Creature*>, std::_Select1st<std::pair<unsigned long const, Creature*> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, Creature*> > >::insert_unique(std::pair<unsigned long const, Creature*> const&) [141]
-----------------------------------------------
                                                 <spontaneous>
[142]    0.1    0.01    0.00                 std::type_info::~type_info() [142]
-----------------------------------------------
                                                 <spontaneous>
[143]    0.1    0.01    0.00                 void std::_Construct<std::pair<std::string const, Command*>, std::pair<std::string const, Command*> >(std::pair<std::string const, Command*>*, std::pair<std::string const, Command*> const&) [143]
-----------------------------------------------
                                                 <spontaneous>
[144]    0.1    0.01    0.00                 void std::_Construct<std::pair<unsigned long long, long>, std::pair<unsigned long long, long> >(std::pair<unsigned long long, long>*, std::pair<unsigned long long, long> const&) [144]
-----------------------------------------------
                                                 <spontaneous>
[145]    0.1    0.01    0.00                 int std::__convert_from_v<long double>(char*, int, char const*, long double, int* const&, int) [145]
-----------------------------------------------
                                                 <spontaneous>
[146]    0.1    0.01    0.00                 std::_Rb_tree_rotate_right(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*&) [146]
-----------------------------------------------
                                                 <spontaneous>
[147]    0.1    0.01    0.00                 std::_Rb_tree_rebalance_for_erase(std::_Rb_tree_node_base*, std::_Rb_tree_node_base&) [147]
-----------------------------------------------
                                                 <spontaneous>
[148]    0.1    0.01    0.00                 std::basic_ostream<char, std::char_traits<char> >& std::endl<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&) [148]
-----------------------------------------------
                                                 <spontaneous>
[149]    0.1    0.01    0.00                 __cxa_throw [149]
-----------------------------------------------
                                                 <spontaneous>
[150]    0.1    0.01    0.00                 fc_key_init [150]
-----------------------------------------------
                                                 <spontaneous>
[151]    0.1    0.01    0.00                 luaopen_base [151]
-----------------------------------------------

 This table describes the call tree of the program, and was sorted by
 the total amount of time spent in each function and its children.

 Each entry in this table consists of several lines.  The line with the
 index number at the left hand margin lists the current function.
 The lines above it list the functions that called this function,
 and the lines below it list the functions this one called.
 This line lists:
     index	A unique number given to each element of the table.
		Index numbers are sorted numerically.
		The index number is printed next to every function name so
		it is easier to look up where the function in the table.

     % time	This is the percentage of the `total' time that was spent
		in this function and its children.  Note that due to
		different viewpoints, functions excluded by options, etc,
		these numbers will NOT add up to 100%.

     self	This is the total amount of time spent in this function.

     children	This is the total amount of time propagated into this
		function by its children.

     called	This is the number of times the function was called.
		If the function called itself recursively, the number
		only includes non-recursive calls, and is followed by
		a `+' and the number of recursive calls.

     name	The name of the current function.  The index number is
		printed after it.  If the function is a member of a
		cycle, the cycle number is printed between the
		function's name and the index number.


 For the function's parents, the fields have the following meanings:

     self	This is the amount of time that was propagated directly
		from the function into this parent.

     children	This is the amount of time that was propagated from
		the function's children into this parent.

     called	This is the number of times this parent called the
		function `/' the total number of times the function
		was called.  Recursive calls to the function are not
		included in the number after the `/'.

     name	This is the name of the parent.  The parent's index
		number is printed after it.  If the parent is a
		member of a cycle, the cycle number is printed between
		the name and the index number.

 If the parents of the function cannot be determined, the word
 `<spontaneous>' is printed in the `name' field, and all the other
 fields are blank.

 For the function's children, the fields have the following meanings:

     self	This is the amount of time that was propagated directly
		from the child into the function.

     children	This is the amount of time that was propagated from the
		child's children to the function.

     called	This is the number of times the function called
		this child `/' the total number of times the child
		was called.  Recursive calls by the child are not
		listed in the number after the `/'.

     name	This is the name of the child.  The child's index
		number is printed after it.  If the child is a
		member of a cycle, the cycle number is printed
		between the name and the index number.

 If there are any cycles (circles) in the call graph, there is an
 entry for the cycle-as-a-whole.  This entry shows who called the
 cycle (as parents) and the members of the cycle (as children.)
 The `+' recursive calls entry shows the number of function calls that
 were internal to the cycle, and the calls entry for each member shows,
 for that member, how many times it was called from other members of
 the cycle.


Index by function name

  [89] _DTOR_LIST__          [111] Monster::~Monster()    [76] std::allocator<std::_List_node<Creature*> >::~allocator()
  [90] global destructors keyed to _ZN7Summons7summonsE [40] ItemType::~ItemType() [128] std::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string(unsigned int, char, std::allocator<char> const&)
  [57] global constructors keyed to _ZN7Summons7summonsE [112] Monsters::loadMonster(std::string const&, std::string const&, bool) [129] std::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<char const*>(char const*, char const*, std::allocator<char> const&)
  [58] __gxx_exception_cleanup(_Unwind_Reason_Code, _Unwind_Exception*) [113] Monsters::loadLootContainer(_xmlNode*, LootBlock&) [130] std::_Vector_base<Item*, std::allocator<Item*> >::~_Vector_base()
  [91] __static_initialization_and_destruction_0(int, int) [36] IOMapOTBM::loadMap(Map*, std::string) [131] std::_Vector_base<Creature*, std::allocator<Creature*> >::_M_deallocate(Creature**, unsigned int)
  [59] FileLoader::getNextNode(unsigned long, unsigned long&) [71] LootBlock::LootBlock(LootBlock const&) [132] std::_Vector_base<Creature*, std::allocator<Creature*> >::_Vector_base(unsigned int, std::allocator<Creature*> const&)
  [17] FileLoader::getChildNode(unsigned long, unsigned long&) [72] __gnu_cxx::__mt_alloc<char>::deallocate(char*, unsigned int) [133] std::_Vector_base<__gnu_cxx::_Hashtable_node<std::pair<unsigned long const, unsigned long> >*, std::allocator<__gnu_cxx::_Hashtable_node<std::pair<unsigned long const, unsigned long> >*> >::_Vector_base(unsigned int, std::allocator<__gnu_cxx::_Hashtable_node<std::pair<unsigned long const, unsigned long> >*> const&)
  [92] FileLoader::endNode()  [73] __gnu_cxx::new_allocator<std::_List_node<Container const*> >::allocate(unsigned int, void const*) [77] std::_Vector_base<__gnu_cxx::_Hashtable_node<std::pair<unsigned long const, unsigned long> >*, std::allocator<__gnu_cxx::_Hashtable_node<std::pair<unsigned long const, unsigned long> >*> >::~_Vector_base()
  [93] FileLoader::getProps(unsigned long, PropStream&) [114] __gnu_cxx::new_allocator<std::pair<std::string, TimeProbabilityClass> >::deallocate(std::pair<std::string, TimeProbabilityClass>*, unsigned int) [48] std::__timepunct_cache<char>::__timepunct_cache(unsigned int)
  [53] FileLoader::getProps(unsigned long, unsigned long&) [115] __gnu_cxx::stdio_sync_filebuf<char, std::char_traits<char> >::xsputn(char const*, int) [52] std::__timepunct_cache<char>::__timepunct_cache(unsigned int)
  [38] FileLoader::openFile(char const*, bool, bool) [19] __gnu_cxx::stdio_sync_filebuf<char, std::char_traits<char> >::seekoff(long long, std::_Ios_Seekdir, std::_Ios_Openmode) [134] std::map<unsigned long, Player*, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, Player*> > >::map()
  [39] FileLoader::setProps(void*, unsigned short) [11] __gnu_cxx::stdio_sync_filebuf<char, std::char_traits<char> >::~stdio_sync_filebuf() [33] std::map<unsigned long, Monster*, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, Monster*> > >::operator[](unsigned long const&)
  [23] PropStream::GET_STRING(std::string&) [45] __gnu_cxx::_Hashtable_iterator<std::pair<unsigned short const, ItemType*>, unsigned short, __gnu_cxx::hash<unsigned short>, std::_Select1st<std::pair<unsigned short const, ItemType*> >, std::equal_to<unsigned short>, std::allocator<ItemType*> >::operator++(int) [78] std::map<unsigned long, Creature*, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, Creature*> > >::map()
